#kt Algorithm
#Value of R is 0.4
#jet #       rapidity            phi             pt n constituents
#    0       -5.72519     0.00968341        4127.75      30
#indices  rapidity(ita)            phi             pt
   15222      -0.310858       0.785408        30.1202
   16083     -0.0190328       0.616088        3.83525
   14538     0.00693537       0.640052       0.116599
   14513    -0.00256897       0.631913       0.497995
   15248     0.00451204       0.622995      0.0787498
   15548      0.0185383        0.69286        3.87043
   15853      0.0328896        0.67464        6.91051
   15241        3.80987        1.04149        25.4878
   15917        3.83443        1.04997       0.464964
   13973      0.0239869        1.19405       0.521358
   14518      0.0141472        1.24038        1.71022
   14638     0.00135547        1.23458       0.240275
   15013     -0.0109755        1.21071       0.109409
   14173      0.0881191        1.08101        1.21901
   14523      0.0110865        1.13876        1.87419
   16038      0.0205987        1.13748       0.375328
   14143       0.122137        1.25247        2.57927
   14933       0.120613        1.19769        1.61836
   14946       -5.04921        1.11636        234.834
   15392       -5.12199        1.22464        1.25345
   14336      0.0341893        1.12315        24.4046
   14948      0.0311094        1.11669       0.362844
   14916         4.5144       0.959833        26.8589
   14597        4.64139       0.805332       0.211715
   15802        4.50302       0.807806       0.244444
   16116       0.544545        1.11054        24.5552
   14504        -4.2899        1.11796       0.140256
   15306       -4.26863         1.0446        25.4416
$
#kt Algorithm
#Value of R is 0.4
#jet #       rapidity            phi             pt n constituents
#    0       -12.8512       0.874672        2752.39       1
#indices  rapidity(ita)            phi             pt
   16210       -12.8512       0.874672        2752.39
$
#kt Algorithm
#Value of R is 0.4
#jet #       rapidity            phi             pt n constituents
#    0        6.24139        6.28286           2323       2
#indices  rapidity(ita)            phi             pt
   16833        6.05232         6.2827           2112
   16928        6.16141     0.00128376            211
$
#kt Algorithm
#Value of R is 0.4
#jet #       rapidity            phi             pt n constituents
#    0       -6.31426        4.78166        2234.36       9
#indices  rapidity(ita)            phi             pt
   18203       -6.10345        4.79611        211.742
   17548       -6.06554        4.71912        211.005
   17823       -6.08562        4.71589        211.001
   17463       -6.65741        4.75662        321.314
   17728       -6.53354         4.7862        211.576
   17508       -6.32896        4.74515        321.172
   17673       -6.36719        4.71439            211
   17488       -6.34764        4.92053        328.081
   17723       -6.34929        4.83612        212.625
$
#kt Algorithm
#Value of R is 0.4
#jet #       rapidity            phi             pt n constituents
#    0        8.23508     0.00299609        3795.66      43
#indices  rapidity(ita)            phi             pt
   18671          6.356      0.0179581        22.0035
   19171         6.3526        6.28233            321
   18681        1.90991      0.0229564        22.0058
   19175       -1.67426      0.0419002        0.15115
   19226       -1.63586      0.0486109         22.026
   18766        5.50892        6.28053        211.001
   19351        5.43991        6.28037        130.001
   19626        4.44095        6.28208            211
   18551        4.54915        6.28242             22
   19391        2.16959    0.000644148            211
   19421        1.97491        6.27301        22.0011
   18836        1.96829        6.28159             22
   19276        1.97338        6.28245            211
   18386        4.77586      0.0012341            211
   18691        4.63092     0.00210585             22
   19141        4.74116     0.00321779        211.001
